Time,EAR,Status
2026-03-18 02:12:44,0.167,Drowsy
2026-03-18 02:12:48,0.159,Drowsy
2026-03-18 02:12:50,0.151,Drowsy
2026-03-18 02:12:54,0.183,Drowsy
